Staiton.Number,Year,Month,Day,Hour,Rs,RH,Temp,uz
58362,2016,9,5,8,4.33152,82.86666667,28.12408333,1
58362,2016,9,5,9,10.37088,77.525,29.38441667,1
58362,2016,9,5,10,18.7128,66.01666667,31.959,1
58362,2016,9,5,11,17.96616,62.25,32.37533333,1
58362,2016,9,5,12,18.44352,54.6,32.981,1
58362,2016,9,5,13,18.75816,50.95,32.764,1
58362,2016,9,5,14,18.16488,49.825,33.4535,1
58362,2016,9,5,15,11.44008,49.15,33.12591667,1
58362,2016,9,5,16,3.74688,54.15833333,30.68125,1
58362,2016,9,5,17,1.3968,57.88333333,29.4025,1
58362,2016,9,5,18,0.02736,60.1,28.26425,1
58362,2016,9,5,19,0,62.54166667,27.75141667,1
58362,2016,9,5,20,0,63.3,27.16716667,1
58362,2016,9,5,21,0,67.46666667,27.12616667,1
58362,2016,9,5,22,0,74.2,27.06075,1
58362,2016,9,5,23,0,77.875,26.72391667,1
58362,2016,9,5,0,0,80.18333333,26.40225,1
58362,2016,9,5,1,0,82.9,25.97325,1
58362,2016,9,5,2,0,82.24166667,25.62458333,1
58362,2016,9,5,3,0,83.65833333,25.42425,1
58362,2016,9,5,4,0,83.29166667,25.44858333,1
58362,2016,9,5,5,0.05472,87.45833333,24.54283333,1
58362,2016,9,5,6,1.09944,78.4,24.25891667,1
58362,2016,9,5,7,3.22344,70.83333333,24.80441667,1
58362,2016,9,6,8,4.32216,64.78333333,25.91866667,1
58362,2016,9,6,9,4.89816,65.23333333,26.4815,1
58362,2016,9,6,10,7.49952,61.6,27.50033333,1
58362,2016,9,6,11,8.80488,62.03333333,28.27441667,1
58362,2016,9,6,12,5.82552,75.55833333,26.25258333,1
58362,2016,9,6,13,7.22088,82.725,24.74458333,1
58362,2016,9,6,14,4.7808,81.93333333,25.23883333,1
58362,2016,9,6,15,4.07808,83.78333333,24.82866667,1
58362,2016,9,6,16,2.29824,82.85833333,24.95566667,1
58362,2016,9,6,17,0.4608,83.53333333,24.59491667,1
58362,2016,9,6,18,0,82.46666667,24.19458333,1
58362,2016,9,6,19,0,83.30833333,24.20483333,1
58362,2016,9,6,20,0,88.01666667,24.01791667,1
58362,2016,9,6,21,0,90.06666667,24.058,1
58362,2016,9,6,22,0,91,23.853,1
58362,2016,9,6,23,0,90.85833333,23.90141667,1
58362,2016,9,6,0,0,88.49166667,23.86525,1
58362,2016,9,6,1,0,86.95,23.58066667,1
58362,2016,9,6,2,0,88.56666667,22.79858333,1
58362,2016,9,6,3,0,93.39166667,21.66625,1
58362,2016,9,6,4,0,94.8,21.32791667,1
58362,2016,9,6,5,0,95.59166667,21.18283333,1
58362,2016,9,6,6,0.2448,95.89166667,21.503,1
58362,2016,9,6,7,0.8928,95.6,21.36775,1
58362,2016,9,7,8,1.83816,96.08333333,21.0735,1
